data,hora,taxa
2024/04/02,10:19:05,10.311337869201205
2024/04/02,10:19:07,10.42215890704298
2024/04/02,10:19:10,10.437311315358546
2024/04/02,10:19:13,10.665277275623119
2024/04/02,10:19:15,10.410056407040202
2024/04/02,10:19:17,10.362706336919786
2024/04/02,10:19:20,10.50332999950587
2024/04/02,10:19:23,11.101030804750186
2024/04/02,10:19:25,10.554866430307754
2024/04/02,10:19:28,10.408883464937409
2024/04/02,10:54:41,10.875817375193535
2024/04/02,10:54:43,10.394282703632943
2024/04/02,10:54:46,10.955391343732154
2024/04/02,10:54:49,11.033443160191524
2024/04/02,10:54:52,10.492665445756465
2024/04/02,10:54:55,10.669803881770116
2024/04/02,10:54:58,10.227334626247783
2024/04/02,10:55:00,10.17270714397129
2024/04/02,10:55:02,10.403191048805905
2024/04/02,10:55:05,10.345474962606351
2024/04/02,10:57:43,11.145270085317877
2024/04/02,10:57:45,10.886448390546821
2024/04/02,10:57:48,10.783176006245506
2024/04/02,10:57:51,10.793064311064702
2024/04/02,10:57:53,10.690790254576886
2024/04/02,10:57:56,10.899948914151004
2024/04/02,10:57:58,10.91033711869616
2024/04/02,10:58:01,10.650863724646667
2024/04/02,10:58:04,10.504515661525428
2024/04/02,10:58:07,10.444918014745687
